sex,age_group,disease_id_from,disease_id_to,link_strength
Female,25-44,222,216,0.0015249063056806
Female,25-44,222,218,0.0015972003234166
Female,25-44,222,219,0.0046602305546798
Female,25-44,222,223,0.0053176852973583
Female,25-44,222,226,0.0044991783759431
Female,25-44,222,239,0.0043331006412773
Female,25-44,222,254,0.0035895869633646
Female,25-44,222,255,0.0035708030057164
Female,25-44,222,258,0.0031667039255018
Female,25-44,222,259,0.0134869554146242
Female,25-44,222,288,0.0117014406967328
Female,25-44,222,293,0.0031504966213069
Female,25-44,222,299,0.0064612921988248
Female,25-44,222,306,0.0014757478515818
Female,25-44,222,332,0.0028918483859197
Female,25-44,222,363,0.0021585311257294
Female,25-44,223,23,0.0021909930799152
