disease_id,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n
1,79,Medium,Male,45-64,3,.0025317843537778,-.092155203,.097218774,.95820409,201
1,79,Medium,Male,45-64,4,.0183421336114407,-.0980075,.13469176,.75733101,201
1,79,Medium,Male,45-64,5,.0235282182693481,-.11307473,.16013117,.73567486,201
1,79,Medium,Male,45-64,-1,-.0034982284996659,-.02414562,.017149163,.73983097,201
1,79,Medium,Male,45-64,-2,0,0,0,,201
1,79,Medium,Male,45-64,-3,.0014676433056593,-.020252334,.023187621,.89463675,201
1,79,Medium,Male,45-64,-4,.0166757795959711,-.004382933,.037734494,.12064625,201
1,79,Medium,Male,45-64,-5,0,0,0,,201
1,79,High,Male,45-64,0,-.0129304016008973,-.085934825,.06007402,.7284776,127
1,79,High,Male,45-64,1,-.0270466431975365,-.12606099,.071967706,.59237933,127
1,79,High,Male,45-64,2,-.012405127286911,-.13845932,.11364907,.84704852,127
1,79,High,Male,45-64,3,-.0060903457924724,-.17188603,.15970533,.94260293,127
1,79,High,Male,45-64,4,-.017717968672514,-.21473476,.17929882,.86008555,127
1,79,High,Male,45-64,5,.0602453798055649,-.17034616,.29083693,.60859615,127
1,79,High,Male,45-64,-1,-.0110443877056241,-.054328814,.032240041,.61699724,127
1,79,High,Male,45-64,-2,0,0,0,,127
1,79,High,Male,45-64,-3,-.0068145776167512,-.03209611,.018466953,.59728181,127
1,79,High,Male,45-64,-4,.015573725104332,-.006742856,.037890308,.17137635,127
1,79,High,Male,45-64,-5,0,0,0,,127
1,80,Low,Female,25-44,0,5994.13330078125,4855.5366,7132.73,5.8182643e-25,870
1,80,Low,Female,25-44,1,3919.486083984375,2668.6128,5170.3594,8.1764712e-10,870
1,80,Low,Female,25-44,2,3004.692626953125,1381.8708,4627.5142,.00028453657,870
1,80,Low,Female,25-44,3,1402.397583007813,-504.01932,3308.8145,.14935476,870
1,80,Low,Female,25-44,4,752.6905517578125,-1371.5908,2876.9719,.48738047,870
1,80,Low,Female,25-44,5,1384.959106445313,-1341.9514,4111.8696,.31951445,870
1,80,Low,Female,25-44,-1,65.83231353759766,-520.08301,651.74768,.82569844,870
1,80,Low,Female,25-44,-2,0,0,0,,870
1,80,Low,Female,25-44,-3,-119.6679763793945,-536.203,296.86703,.57336944,870
1,80,Low,Female,25-44,-4,-105.8996276855469,-515.04138,303.24216,.61193466,870
1,80,Low,Female,25-44,-5,0,0,0,,870
1,80,Medium,Female,25-44,0,5994.13330078125,4855.5366,7132.73,5.8182643e-25,870
1,80,Medium,Female,25-44,1,3919.486083984375,2668.6128,5170.3594,8.1764712e-10,870
1,80,Medium,Female,25-44,2,3004.692626953125,1381.8708,4627.5142,.00028453657,870
1,80,Medium,Female,25-44,3,1402.397583007813,-504.01932,3308.8145,.14935476,870
1,80,Medium,Female,25-44,4,752.6905517578125,-1371.5908,2876.9719,.48738047,870
1,80,Medium,Female,25-44,5,1384.959106445313,-1341.9514,4111.8696,.31951445,870
1,80,Medium,Female,25-44,-1,65.83231353759766,-520.08301,651.74768,.82569844,870
1,80,Medium,Female,25-44,-2,0,0,0,,870
1,80,Medium,Female,25-44,-3,-119.6679763793945,-536.203,296.86703,.57336944,870
1,80,Medium,Female,25-44,-4,-105.8996276855469,-515.04138,303.24216,.61193466,870
1,80,Medium,Female,25-44,-5,0,0,0,,870
1,80,High,Female,25-44,0,5994.13330078125,4855.5366,7132.73,5.8182643e-25,870
1,80,High,Female,25-44,1,3919.486083984375,2668.6128,5170.3594,8.1764712e-10,870
1,80,High,Female,25-44,2,3004.692626953125,1381.8708,4627.5142,.00028453657,870
1,80,High,Female,25-44,3,1402.397583007813,-504.01932,3308.8145,.14935476,870
1,80,High,Female,25-44,4,752.6905517578125,-1371.5908,2876.9719,.48738047,870
1,80,High,Female,25-44,5,1384.959106445313,-1341.9514,4111.8696,.31951445,870
1,80,High,Female,25-44,-1,65.83231353759766,-520.08301,651.74768,.82569844,870
1,80,High,Female,25-44,-2,0,0,0,,870
1,80,High,Female,25-44,-3,-119.6679763793945,-536.203,296.86703,.57336944,870
1,80,High,Female,25-44,-4,-105.8996276855469,-515.04138,303.24216,.61193466,870
1,80,High,Female,25-44,-5,0,0,0,,870
1,80,Low,Female,45-64,0,7051.6640625,5480.4194,8622.9092,1.4130444e-18,1086
1,80,Low,Female,45-64,1,5658.201171875,4045.033,7271.3696,6.2113348e-12,1086
1,80,Low,Female,45-64,2,3311.91357421875,1257.2756,5366.5518,.001581135,1086
1,80,Low,Female,45-64,3,2321.760986328125,-222.16182,4865.6836,.073641814,1086
1,80,Low,Female,45-64,4,1477.570678710938,-1560.0554,4515.1968,.34039313,1086
1,80,Low,Female,45-64,5,1043.342529296875,-2426.2939,4512.979,.55560309,1086
1,80,Low,Female,45-64,-1,702.0509033203125,-76.595161,1480.697,.077195503,1086
1,80,Low,Female,45-64,-2,0,0,0,,1086
1,80,Low,Female,45-64,-3,-231.7125549316406,-715.75311,252.32802,.34811005,1086
1,80,Low,Female,45-64,-4,84.06975555419922,-398.17041,566.30994,.73258406,1086
1,80,Low,Female,45-64,-5,0,0,0,,1086
1,80,Medium,Female,45-64,0,7051.6640625,5480.4194,8622.9092,1.4130444e-18,1086
1,80,Medium,Female,45-64,1,5658.201171875,4045.033,7271.3696,6.2113348e-12,1086
1,80,Medium,Female,45-64,2,3311.91357421875,1257.2756,5366.5518,.001581135,1086
1,80,Medium,Female,45-64,3,2321.760986328125,-222.16182,4865.6836,.073641814,1086
1,80,Medium,Female,45-64,4,1477.570678710938,-1560.0554,4515.1968,.34039313,1086
1,80,Medium,Female,45-64,5,1043.342529296875,-2426.2939,4512.979,.55560309,1086
1,80,Medium,Female,45-64,-1,702.0509033203125,-76.595161,1480.697,.077195503,1086
1,80,Medium,Female,45-64,-2,0,0,0,,1086
1,80,Medium,Female,45-64,-3,-231.7125549316406,-715.75311,252.32802,.34811005,1086
1,80,Medium,Female,45-64,-4,84.06975555419922,-398.17041,566.30994,.73258406,1086
1,80,Medium,Female,45-64,-5,0,0,0,,1086
1,80,High,Female,45-64,0,7051.6640625,5480.4194,8622.9092,1.4130444e-18,1086
1,80,High,Female,45-64,1,5658.201171875,4045.033,7271.3696,6.2113348e-12,1086
1,80,High,Female,45-64,2,3311.91357421875,1257.2756,5366.5518,.001581135,1086
1,80,High,Female,45-64,3,2321.760986328125,-222.16182,4865.6836,.073641814,1086
1,80,High,Female,45-64,4,1477.570678710938,-1560.0554,4515.1968,.34039313,1086
1,80,High,Female,45-64,5,1043.342529296875,-2426.2939,4512.979,.55560309,1086
1,80,High,Female,45-64,-1,702.0509033203125,-76.595161,1480.697,.077195503,1086
1,80,High,Female,45-64,-2,0,0,0,,1086
1,80,High,Female,45-64,-3,-231.7125549316406,-715.75311,252.32802,.34811005,1086
1,80,High,Female,45-64,-4,84.06975555419922,-398.17041,566.30994,.73258406,1086
1,80,High,Female,45-64,-5,0,0,0,,1086
1,80,Low,Female,65-75,0,11023.0615234375,9002.5947,13043.528,1.0955991e-26,628
1,80,Low,Female,65-75,1,6558.404296875,4638.8916,8477.917,2.1312341e-11,628
1,80,Low,Female,65-75,2,6506.4921875,3994.4167,9018.5674,3.8431097e-07,628
1,80,Low,Female,65-75,3,5897.84912109375,2744.0757,9051.623,.00024696978,628
1,80,Low,Female,65-75,4,5822.19970703125,2180.3743,9464.0254,.0017275895,628
1,80,Low,Female,65-75,5,5702.41015625,1345.1957,10059.625,.010314382,628
1,80,Low,Female,65-75,-1,750.9902954101563,-76.739929,1578.7206,.075356916,628
1,80,Low,Female,65-75,-2,0,0,0,,628
